Subzona,NDVI_mean_filtered,n_filtered,year,month,sample,NDVI_mean_filtered_norm
Bosques_con_muerdago_2,0.6105480010840476,3153,2019,1,3,0.8052740005420238
Bosques_con_muerdago_3,0.6455520361373419,32630,2019,1,3,0.822776018068671
Bosques_densos_pino_oyamel,0.6342716835192963,29464,2019,1,3,0.8171358417596482
Mariposa_monarca,0.8370877455606323,534,2019,1,3,0.9185438727803161
Parque_venados,0.34074623637717816,52,2019,1,3,0.670373118188589
Toluca,0.6181030566314153,15726,2019,1,3,0.8090515283157076
Bosques_con_muerdago_2,0.5718079820436871,3153,2019,2,3,0.7859039910218435
Bosques_con_muerdago_3,0.6022364072558425,32634,2019,2,3,0.8011182036279212
Bosques_densos_pino_oyamel,0.5958789893744345,29467,2019,2,3,0.7979394946872173
Mariposa_monarca,0.8034792334622916,529,2019,2,3,0.9017396167311458
Parque_venados,0.3204437641699655,51,2019,2,3,0.6602218820849828
Toluca,0.5699402958844864,15770,2019,2,3,0.7849701479422432
Bosques_con_muerdago_2,0.5479725082432407,3153,2019,3,3,0.7739862541216204
Bosques_con_muerdago_3,0.5729163970647871,32634,2019,3,3,0.7864581985323935
Bosques_densos_pino_oyamel,0.575282122027206,29466,2019,3,3,0.787641061013603
Mariposa_monarca,0.7850013289245403,537,2019,3,3,0.8925006644622702
Parque_venados,0.32330946974905045,51,2019,3,3,0.6616547348745252
Toluca,0.5500879396787114,15796,2019,3,3,0.7750439698393556
Bosques_con_muerdago_2,0.506538124267295,3151,2019,4,2,0.7532690621336475
Bosques_con_muerdago_3,0.561580812079251,32635,2019,4,2,0.7807904060396256
Bosques_densos_pino_oyamel,0.5436170497303584,29466,2019,4,2,0.7718085248651791
Mariposa_monarca,0.762689599077252,538,2019,4,2,0.881344799538626
Parque_venados,0.30840498481198786,52,2019,4,2,0.6542024924059939
Toluca,0.5223189400503327,15805,2019,4,2,0.7611594700251664
Bosques_con_muerdago_2,0.5130771109516673,3148,2019,5,1,0.7565385554758337
Bosques_con_muerdago_3,0.5313248354930532,32237,2019,5,1,0.7656624177465265
Bosques_densos_pino_oyamel,0.5408452912735221,29469,2019,5,1,0.7704226456367611
Mariposa_monarca,0.7017991112010931,539,2019,5,1,0.8508995556005465
Parque_venados,0.3133716074687937,51,2019,5,1,0.6566858037343969
Toluca,0.556283843278141,15808,2019,5,1,0.7781419216390705
Bosques_con_muerdago_2,0.4558696103835493,2849,2019,6,2,0.7279348051917747
Bosques_con_muerdago_3,0.49698156275900063,27161,2019,6,2,0.7484907813795003
Bosques_densos_pino_oyamel,0.5260590124278418,29122,2019,6,2,0.763029506213921
Mariposa_monarca,0.5267695204250956,384,2019,6,2,0.7633847602125479
Parque_venados,0.35005407714035075,52,2019,6,2,0.6750270385701753
Toluca,0.5554021328480527,15377,2019,6,2,0.7777010664240264
Bosques_con_muerdago_2,0.5812984789182366,1854,2019,7,2,0.7906492394591182
Bosques_con_muerdago_3,0.5758145028002315,25429,2019,7,2,0.7879072514001157
Bosques_densos_pino_oyamel,0.53856292026921,19589,2019,7,2,0.769281460134605
Mariposa_monarca,0.42839260174542565,96,2019,7,2,0.7141963008727128
Parque_venados,0.5229907420883978,52,2019,7,2,0.761495371044199
Toluca,0.6416951178713732,11969,2019,7,2,0.8208475589356866
Bosques_con_muerdago_2,0.6120110208290025,636,2019,8,2,0.8060055104145012
Bosques_con_muerdago_3,0.45577925012510345,775,2019,8,2,0.7278896250625517
Bosques_densos_pino_oyamel,0.6213717798808462,10054,2019,8,2,0.8106858899404231
Toluca,0.7113348531093378,13653,2019,8,2,0.8556674265546689
Bosques_con_muerdago_2,0.659688329294765,3162,2019,9,1,0.8298441646473824
Bosques_con_muerdago_3,0.49287696179566715,5065,2019,9,1,0.7464384808978336
Bosques_densos_pino_oyamel,0.4983141468725656,12761,2019,9,1,0.7491570734362828
Mariposa_monarca,0.3101329327470242,26,2019,9,1,0.6550664663735121
Parque_venados,0.6167716035544385,52,2019,9,1,0.8083858017772192
Toluca,0.7593872493070299,14532,2019,9,1,0.879693624653515
Bosques_con_muerdago_2,0.6561832547808899,3036,2019,10,2,0.828091627390445
Bosques_con_muerdago_3,0.6136714322059938,15362,2019,10,2,0.8068357161029969
Bosques_densos_pino_oyamel,0.5752044243348319,18881,2019,10,2,0.787602212167416
Mariposa_monarca,0.5833506999210977,427,2019,10,2,0.7916753499605489
Parque_venados,0.5538382183680787,52,2019,10,2,0.7769191091840393
Toluca,0.7239206490601455,15283,2019,10,2,0.8619603245300728
Bosques_con_muerdago_2,0.6822835197761166,3152,2019,11,3,0.8411417598880583
Bosques_con_muerdago_3,0.7094189654933521,32566,2019,11,3,0.8547094827466761
Bosques_densos_pino_oyamel,0.6891326551890806,29438,2019,11,3,0.8445663275945403
Mariposa_monarca,0.8388373631527938,520,2019,11,3,0.919418681576397
Parque_venados,0.49677406506902233,52,2019,11,3,0.7483870325345112
Toluca,0.7194277201541693,15626,2019,11,3,0.8597138600770846
Bosques_con_muerdago_2,0.6829046916144746,3151,2019,12,1,0.8414523458072374
Bosques_con_muerdago_3,0.7041590574651494,32548,2019,12,1,0.8520795287325746
Bosques_densos_pino_oyamel,0.6870565040921757,29408,2019,12,1,0.8435282520460878
Mariposa_monarca,0.8236495039264415,532,2019,12,1,0.9118247519632208
Parque_venados,0.4686163472687354,52,2019,12,1,0.7343081736343677
Toluca,0.7161531909764105,15628,2019,12,1,0.8580765954882053
Bosques_con_muerdago_2,0.6085928387843291,3260,2020,1,3,0.8042964193921646
Bosques_con_muerdago_3,0.634695798363741,32893,2020,1,3,0.8173478991818706
Bosques_densos_pino_oyamel,0.6316564456910579,29788,2020,1,3,0.8158282228455289
Mariposa_monarca,0.8260850511240155,549,2020,1,3,0.9130425255620078
Parque_venados,0.36785635323478627,60,2020,1,3,0.6839281766173931
Toluca,0.6247724353775779,15832,2020,1,3,0.8123862176887889
Bosques_con_muerdago_2,0.571518205212594,3252,2020,2,3,0.785759102606297
Bosques_con_muerdago_3,0.5976599730492339,32904,2020,2,3,0.7988299865246169
Bosques_densos_pino_oyamel,0.6067871417627462,29789,2020,2,3,0.8033935708813731
Mariposa_monarca,0.7699464389575579,548,2020,2,3,0.8849732194787789
Parque_venados,0.3168894198595309,59,2020,2,3,0.6584447099297654
Toluca,0.5814492969104474,15835,2020,2,3,0.7907246484552237
Bosques_con_muerdago_2,0.5748436849393104,3254,2020,3,3,0.7874218424696552
Bosques_con_muerdago_3,0.5766293383843687,32905,2020,3,3,0.7883146691921843
Bosques_densos_pino_oyamel,0.6010795384104337,29792,2020,3,3,0.8005397692052169
Mariposa_monarca,0.7606975716507568,553,2020,3,3,0.8803487858253785
Parque_venados,0.3622300849825728,59,2020,3,3,0.6811150424912864
Toluca,0.5922136795993161,15879,2020,3,3,0.796106839799658
Bosques_con_muerdago_2,0.5384698571194058,3148,2020,4,2,0.7692349285597029
Bosques_con_muerdago_3,0.5756902359733989,32634,2020,4,2,0.7878451179866994
Bosques_densos_pino_oyamel,0.5730731724153023,28237,2020,4,2,0.7865365862076512
Mariposa_monarca,0.7423778900156957,536,2020,4,2,0.8711889450078478
Parque_venados,0.365121223870141,51,2020,4,2,0.6825606119350704
Toluca,0.5461002990052009,15796,2020,4,2,0.7730501495026004
Bosques_con_muerdago_2,0.516699956910523,3244,2020,5,2,0.7583499784552614
Bosques_con_muerdago_3,0.5878361203657771,32895,2020,5,2,0.7939180601828886
Bosques_densos_pino_oyamel,0.5745898374690244,29790,2020,5,2,0.7872949187345122
Mariposa_monarca,0.7540077617141738,551,2020,5,2,0.8770038808570869
Parque_venados,0.4215454886165949,60,2020,5,2,0.7107727443082974
Toluca,0.5023639002754597,15966,2020,5,2,0.7511819501377299
Bosques_con_muerdago_2,,3267,2020,6,3,
Bosques_con_muerdago_3,0.515020019154798,32897,2020,6,3,0.757510009577399
Bosques_densos_pino_oyamel,0.5199837821182804,29796,2020,6,3,0.7599918910591402
Mariposa_monarca,,554,2020,6,3,
Parque_venados,,60,2020,6,3,
Toluca,0.6002650833926757,15941,2020,6,3,0.8001325416963379
Bosques_con_muerdago_2,0.38170572980441186,3267,2020,7,2,0.6908528649022059
Bosques_con_muerdago_3,0.42288193480603803,32869,2020,7,2,0.711440967403019
Bosques_densos_pino_oyamel,0.4785315634102379,29759,2020,7,2,0.7392657817051189
Mariposa_monarca,,554,2020,7,2,
Parque_venados,,60,2020,7,2,
Toluca,0.5134606598322295,15966,2020,7,2,0.7567303299161148
Bosques_con_muerdago_2,0.6030597212957218,3263,2020,8,2,0.8015298606478609
Bosques_con_muerdago_3,0.5443975413441038,32897,2020,8,2,0.7721987706720519
Bosques_densos_pino_oyamel,0.6084929627839936,29739,2020,8,2,0.8042464813919967
Mariposa_monarca,,554,2020,8,2,
Parque_venados,,60,2020,8,2,
Toluca,0.6952486050986781,15925,2020,8,2,0.8476243025493391
Bosques_con_muerdago_2,0.6558381953302999,3250,2020,9,1,0.8279190976651499
Bosques_con_muerdago_3,0.6577561317369246,32721,2020,9,1,0.8288780658684622
Bosques_densos_pino_oyamel,0.6426279861586208,29512,2020,9,1,0.8213139930793104
Mariposa_monarca,-0.009604376931563555,553,2020,9,1,0.4951978115342182
Parque_venados,0.5742680929028071,60,2020,9,1,0.7871340464514036
Toluca,0.7458146494067303,15872,2020,9,1,0.8729073247033652
Bosques_con_muerdago_2,0.6579279192821228,3248,2020,10,3,0.8289639596410614
Bosques_con_muerdago_3,0.6999139550636668,32849,2020,10,3,0.8499569775318334
Bosques_densos_pino_oyamel,0.6765224939451764,29746,2020,10,3,0.8382612469725882
Mariposa_monarca,0.8058259150548008,548,2020,10,3,0.9029129575274004
Parque_venados,0.5033628717064857,60,2020,10,3,0.7516814358532429
Toluca,0.6178301464967433,15916,2020,10,3,0.8089150732483716
Bosques_con_muerdago_2,0.6498532986413504,3244,2020,11,3,0.8249266493206753
Bosques_con_muerdago_3,0.6698315336976818,32830,2020,11,3,0.834915766848841
Bosques_densos_pino_oyamel,0.6588869916644093,29741,2020,11,3,0.8294434958322047
Mariposa_monarca,0.7828600624769401,526,2020,11,3,0.89143003123847
Parque_venados,0.4507840129618461,60,2020,11,3,0.7253920064809231
Toluca,0.6989800253148133,15735,2020,11,3,0.8494900126574066
